ID,CatID,Exchange,IndustryName,Code,Name,TotalShares,URL,Row,TotalRecord
2951,1,HOSE,Phân phối và bán lẻ hàng lâu bền,HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,367985968,https://finance.vietstock.vn/HHS-ctcp-dau-tu-dich-vu-hoang-huy.htm,565,3275
4207,1,HOSE,Tư liệu sản xuất,HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả,432255528,https://finance.vietstock.vn/HHV-ctcp-dau-tu-ha-tang-giao-thong-deo-ca.htm,566,3275
4344,1,HOSE,Dịch vụ tiện ích,HID,CTCP Halcom Việt Nam,76765032,https://finance.vietstock.vn/HID-ctcp-halcom-viet-nam.htm,567,3275
1778,5,UPCoM,Dịch vụ viễn thông,HIG,CTCP Tập đoàn HIPT,22559030,https://finance.vietstock.vn/HIG-ctcp-tap-doan-hipt.htm,568,3275
4471,1,HOSE,Nguyên vật liệu,HII,CTCP An Tiến Industries,73663016,https://finance.vietstock.vn/HII-ctcp-an-tien-industries.htm,569,3275
4956,5,UPCoM,Dịch vụ tiện ích,HIO,CTCP Helio Energy,21000000,https://finance.vietstock.vn/HIO-ctcp-helio-energy.htm,570,3275
2193,5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",HJC,CTCP Hòa Việt,12853052,https://finance.vietstock.vn/HJC-ctcp-hoa-viet.htm,571,3275
911,2,HNX,Dịch vụ tiện ích,HJS,CTCP Thủy điện Nậm Mu,20999900,https://finance.vietstock.vn/HJS-ctcp-thuy-dien-nam-mu.htm,572,3275
4009,5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,51599999,https://finance.vietstock.vn/HKB-ctcp-nong-nghiep-va-thuc-pham-ha-noi-kinh-bac.htm,573,3275
4092,2,HNX,"Thực phẩm, đồ uống và thuốc lá",HKT,CTCP Đầu tư Ego Việt Nam,6135029,https://finance.vietstock.vn/HKT-ctcp-dau-tu-ego-viet-nam.htm,574,3275
1424,5,UPCoM,Nguyên vật liệu,HLA,CTCP Hữu Liên Á Châu,34459293,https://finance.vietstock.vn/HLA-ctcp-huu-lien-a-chau.htm,575,3275
2248,5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",HLB,CTCP Bia và Nước giải khát Hạ Long,3000000,https://finance.vietstock.vn/HLB-ctcp-bia-va-nuoc-giai-khat-ha-long.htm,576,3275
1532,2,HNX,Năng lượng,HLC,CTCP Than Hà Lầm - Vinacomin,25415199,https://finance.vietstock.vn/HLC-ctcp-than-ha-lam-vinacomin.htm,577,3275
3321,2,HNX,Phát triển và quản lý bất động sản,HLD,CTCP Đầu tư và Phát triển Bất động sản HUDLAND,20000000,https://finance.vietstock.vn/HLD-ctcp-dau-tu-va-phat-trien-bat-dong-san-hudland.htm,578,3275
5689,5,UPCoM,Tư liệu sản xuất,HLO,CTCP Công nghệ Ha Lô,8000000,https://finance.vietstock.vn/HLO-ctcp-cong-nghe-ha-lo.htm,579,3275
3237,5,UPCoM,Hàng tiêu dùng và trang trí,HLS,CTCP Sứ Kỹ thuật Hoàng Liên Sơn,11169125,https://finance.vietstock.vn/HLS-ctcp-su-ky-thuat-hoang-lien-son.htm,580,3275
2234,5,UPCoM,Hàng tiêu dùng và trang trí,HLT,CTCP Dệt may Hoàng Thị Loan,5500000,https://finance.vietstock.vn/HLT-ctcp-det-may-hoang-thi-loan.htm,581,3275
912,5,UPCoM,Nguyên vật liệu,HLY,CTCP Gốm Xây Dựng Yên Hưng,1000000,https://finance.vietstock.vn/HLY-ctcp-gom-xay-dung-yen-hung.htm,582,3275
799,1,HOSE,Phân phối và bán lẻ hàng lâu bền,HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL,27299999,https://finance.vietstock.vn/HMC-ctcp-kim-khi-thanh-pho-ho-chi-minh-vnsteel.htm,583,3275
1682,5,UPCoM,Phân phối và bán lẻ hàng lâu bền,HMG,CTCP Kim khí Hà Nội - VNSTEEL,9000000,https://finance.vietstock.vn/HMG-ctcp-kim-khi-ha-noi-vnsteel.htm,584,3275
2477,2,HNX,Vận tải,HMH,CTCP Hải Minh,13199847,https://finance.vietstock.vn/HMH-ctcp-hai-minh.htm,585,3275
4890,2,HNX,Nguyên vật liệu,HMR,CTCP Đá Hoàng Mai,5612444,https://finance.vietstock.vn/HMR-ctcp-da-hoang-mai.htm,586,3275
